epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.77473,1.02118,3.29391,1.07216,0.00333,1,0.34807,0.26995,0.89561,3.38897,0.9976,2e-05,2e-05,2e-05
2,14.3391,0.7834,3.1095,0.99693,0.00333,1,0.56401,0.46658,0.62981,3.27462,0.89082,5.9406e-05,5.9406e-05,5.9406e-05
3,20.8444,0.55402,2.69171,0.96297,0.00333,1,0.72789,0.63017,0.3433,3.18624,0.79821,9.802e-05,9.802e-05,9.802e-05
4,27.0379,0.40253,2.1911,0.87785,0.00333,1,0.84713,0.77496,0.31067,3.10588,0.77745,0.000135842,0.000135842,0.000135842
5,32.9984,0.43887,1.88954,0.88185,0.00333,1,0.87845,0.77459,0.39193,2.98754,0.78948,0.000172872,0.000172872,0.000172872
6,39.3217,0.43096,1.73552,0.84552,0.87751,0.89758,0.98167,0.84921,0.43286,2.90544,0.79392,0.00020911,0.00020911,0.00020911
7,45.2957,0.42158,1.33132,0.8176,1,0.53653,0.98167,0.89115,0.34802,2.81571,0.7773,0.000244556,0.000244556,0.000244556
8,51.3413,0.47186,1.40857,0.85581,1,0.45679,0.995,0.95753,0.27544,2.87276,0.76861,0.00027921,0.00027921,0.00027921
9,57.5273,0.45569,1.33684,0.895,1,0.45258,0.995,0.97677,0.26917,2.88114,0.76706,0.000313072,0.000313072,0.000313072
10,63.6654,0.42655,1.28143,0.84106,1,0.42887,0.995,0.94018,0.30798,2.85802,0.76942,0.000346142,0.000346142,0.000346142
11,69.7743,0.44665,1.31906,0.81486,1,0.37531,0.995,0.90397,0.3889,2.851,0.77499,0.00037842,0.00037842,0.00037842
12,76.1126,0.40617,1.19214,0.83959,1,0.36455,0.955,0.84249,0.42381,2.83132,0.78304,0.000409906,0.000409906,0.000409906
13,82.5832,0.43069,1.04285,0.83987,1,0.45047,0.98167,0.89113,0.43661,2.88481,0.78716,0.0004406,0.0004406,0.0004406
14,89.3648,0.46451,1.10801,0.89759,1,0.48649,0.98167,0.87187,0.40963,2.90989,0.79611,0.000470502,0.000470502,0.000470502
15,96.0113,0.42783,1.01943,0.812,1,0.45613,0.93875,0.84646,0.4154,2.92059,0.80592,0.000499612,0.000499612,0.000499612
16,102.806,0.41767,0.9554,0.82944,0.85902,0.625,0.86452,0.79505,0.40587,2.92749,0.80113,0.00052793,0.00052793,0.00052793
17,109.677,0.45117,1.01801,0.84857,1,0.6154,0.81115,0.80457,0.35199,2.79152,0.77342,0.000555456,0.000555456,0.000555456
18,117.036,0.41394,1.01863,0.83697,1,0.59422,0.7779,0.76048,0.33622,2.72447,0.76785,0.00058219,0.00058219,0.00058219
19,124.1,0.38941,0.93862,0.84967,0.90195,0.75,0.81545,0.80844,0.34318,2.66178,0.77038,0.000608132,0.000608132,0.000608132
20,131.233,0.39446,1.10276,0.8882,0.89217,0.75,0.8136,0.80677,0.33731,2.74789,0.77282,0.000633282,0.000633282,0.000633282
21,138.127,0.44022,1.04405,0.89302,0.68205,0.75,0.69809,0.69417,0.32834,2.85516,0.77303,0.00065764,0.00065764,0.00065764
22,145.431,0.44251,0.9824,0.85217,0.96388,0.75,0.79477,0.74833,0.35676,2.81389,0.78165,0.000681206,0.000681206,0.000681206
23,152.217,0.42449,0.87097,0.85112,0.92769,0.75,0.79573,0.73494,0.35561,2.73691,0.7801,0.00070398,0.00070398,0.00070398
24,158.753,0.41652,0.93021,0.8873,0.95523,0.75,0.7964,0.73529,0.37463,2.71178,0.77476,0.000725962,0.000725962,0.000725962
25,165.263,0.44221,0.9432,0.85792,1,0.61517,0.77349,0.75575,0.37916,2.70071,0.77012,0.000747152,0.000747152,0.000747152
26,171.889,0.46467,0.99745,0.86637,0.9745,0.5,0.68952,0.66893,0.37664,2.73252,0.78059,0.00076755,0.00076755,0.00076755
27,178.366,0.39581,0.93669,0.85466,0.80934,0.75,0.85169,0.66632,0.4442,2.53817,0.79215,0.000787156,0.000787156,0.000787156
28,184.918,0.43749,0.94851,0.85265,0.80934,0.75,0.85169,0.66632,0.4442,2.53817,0.79215,0.00080597,0.00080597,0.00080597
29,191.536,0.44394,0.93419,0.91311,1,0.84347,0.92553,0.87568,0.40276,2.28702,0.79549,0.000823992,0.000823992,0.000823992
30,198.187,0.40817,0.96631,0.89342,0.81734,0.75,0.81712,0.76611,0.36724,2.54924,0.8194,0.000841222,0.000841222,0.000841222
31,204.782,0.38157,0.90579,0.87561,0.81734,0.75,0.81712,0.76611,0.36724,2.54924,0.8194,0.00085766,0.00085766,0.00085766
32,211.557,0.39134,0.93161,0.83439,0.98553,0.5,0.65851,0.48605,0.5512,2.63393,1.02394,0.000873306,0.000873306,0.000873306
33,218.07,0.43097,1.02776,0.83852,0.98063,0.5,0.73599,0.61801,0.42241,2.50521,0.82459,0.00088816,0.00088816,0.00088816
34,225.155,0.40964,0.93104,0.8724,0.98063,0.5,0.73599,0.61801,0.42241,2.50521,0.82459,0.000902222,0.000902222,0.000902222
35,231.956,0.44029,0.99653,0.90406,1,0.80985,0.955,0.89254,0.36568,2.29389,0.7908,0.000915492,0.000915492,0.000915492
36,238.833,0.39067,0.85902,0.85998,1,0.84581,0.971,0.90694,0.35553,2.10362,0.78504,0.00092797,0.00092797,0.00092797
37,245.755,0.3656,0.8597,0.86614,1,0.84581,0.971,0.90694,0.35553,2.10362,0.78504,0.000939656,0.000939656,0.000939656
38,252.823,0.36766,0.79466,0.85024,1,0.85157,0.98167,0.92376,0.34645,1.94296,0.78551,0.00095055,0.00095055,0.00095055
39,259.587,0.40836,0.77684,0.86938,0.92826,0.75,0.87136,0.82439,0.34687,1.99001,0.78828,0.000960652,0.000960652,0.000960652
40,266.434,0.39933,0.81006,0.85827,0.92826,0.75,0.87136,0.82439,0.34687,1.99001,0.78828,0.000969962,0.000969962,0.000969962
41,272.868,0.40925,0.78383,0.86374,0.62296,0.75,0.78179,0.70361,0.44008,1.9746,0.81152,0.00097848,0.00097848,0.00097848
42,279.346,0.38372,0.85147,0.85574,0.79164,0.75,0.79378,0.7144,0.4211,1.94649,0.80114,0.000986206,0.000986206,0.000986206
43,285.759,0.44998,0.82439,0.87167,0.79164,0.75,0.79378,0.7144,0.4211,1.94649,0.80114,0.00099314,0.00099314,0.00099314
44,292.071,0.40725,0.7748,0.85454,1,0.86192,0.971,0.91408,0.37604,1.70386,0.79544,0.000999282,0.000999282,0.000999282
45,298.371,0.41102,0.89953,0.84007,1,0.86192,0.971,0.91408,0.37604,1.70386,0.79544,0.00100463,0.00100463,0.00100463
46,304.699,0.40978,0.80764,0.8523,0.96446,1,0.995,0.93929,0.36346,1.67062,0.79726,0.00100919,0.00100919,0.00100919
47,310.98,0.41542,0.74934,0.86892,0.96446,1,0.995,0.93929,0.36346,1.67062,0.79726,0.00101296,0.00101296,0.00101296
48,317.501,0.41142,0.79523,0.83999,0.99082,1,0.995,0.94264,0.36668,1.53074,0.78976,0.00101593,0.00101593,0.00101593
49,323.747,0.41207,0.82732,0.87872,0.99082,1,0.995,0.94264,0.36668,1.53074,0.78976,0.00101811,0.00101811,0.00101811
50,330.207,0.39274,0.86025,0.85247,0.98996,1,0.995,0.92979,0.37633,1.31102,0.78261,0.0010195,0.0010195,0.0010195
51,336.514,0.42313,0.85296,0.85472,0.98996,1,0.995,0.92979,0.37633,1.31102,0.78261,0.00101,0.00101,0.00101
52,343.001,0.42387,0.8076,0.8767,0.99403,1,0.995,0.93365,0.3877,1.18616,0.78829,0.0009902,0.0009902,0.0009902
53,349.431,0.36624,0.81365,0.86914,0.99403,1,0.995,0.93365,0.3877,1.18616,0.78829,0.0009704,0.0009704,0.0009704
54,355.89,0.41762,0.77324,0.90069,0.99496,1,0.995,0.95662,0.36202,1.1642,0.79093,0.0009506,0.0009506,0.0009506
55,362.247,0.36184,0.73251,0.83289,0.99496,1,0.995,0.95662,0.36202,1.1642,0.79093,0.0009308,0.0009308,0.0009308
56,368.9,0.374,0.6976,0.84304,0.99533,1,0.995,0.91804,0.38564,1.07857,0.78936,0.000911,0.000911,0.000911
57,375.343,0.37868,0.68957,0.85956,0.99533,1,0.995,0.91804,0.38564,1.07857,0.78936,0.0008912,0.0008912,0.0008912
58,381.993,0.3687,0.75744,0.86015,0.99416,1,0.995,0.92404,0.41884,1.05937,0.79525,0.0008714,0.0008714,0.0008714
59,388.498,0.38493,0.64636,0.85424,0.99416,1,0.995,0.92404,0.41884,1.05937,0.79525,0.0008516,0.0008516,0.0008516
60,395.113,0.34541,0.68315,0.81751,0.99289,1,0.995,0.93033,0.39186,0.99964,0.78506,0.0008318,0.0008318,0.0008318
61,401.584,0.3573,0.67089,0.86397,0.99289,1,0.995,0.93033,0.39186,0.99964,0.78506,0.000812,0.000812,0.000812
62,408.134,0.34341,0.68171,0.84854,0.9935,1,0.995,0.93979,0.35169,0.95583,0.77628,0.0007922,0.0007922,0.0007922
63,414.405,0.35233,0.58859,0.81692,0.9935,1,0.995,0.93979,0.35169,0.95583,0.77628,0.0007724,0.0007724,0.0007724
64,420.989,0.31359,0.71364,0.84669,0.99302,1,0.995,0.97827,0.33249,0.97937,0.77106,0.0007526,0.0007526,0.0007526
65,427.539,0.3993,0.66996,0.83501,0.99302,1,0.995,0.97827,0.33249,0.97937,0.77106,0.0007328,0.0007328,0.0007328
66,434.029,0.31812,0.62404,0.83176,0.99262,1,0.995,0.96378,0.32972,0.99838,0.77481,0.000713,0.000713,0.000713
67,440.561,0.31742,0.63286,0.8429,0.99262,1,0.995,0.96378,0.32972,0.99838,0.77481,0.0006932,0.0006932,0.0006932
68,447.14,0.34005,0.676,0.85615,0.99201,1,0.995,0.94241,0.34522,0.95446,0.78228,0.0006734,0.0006734,0.0006734
69,453.717,0.31294,0.64716,0.8418,0.99201,1,0.995,0.94241,0.34522,0.95446,0.78228,0.0006536,0.0006536,0.0006536
70,460.452,0.32217,0.60125,0.8424,0.992,1,0.995,0.94866,0.32027,0.90483,0.77581,0.0006338,0.0006338,0.0006338
71,467.849,0.36135,0.64047,0.83869,0.992,1,0.995,0.94866,0.32027,0.90483,0.77581,0.000614,0.000614,0.000614
72,475.362,0.3138,0.59914,0.86646,0.99228,1,0.995,0.94241,0.28888,0.84308,0.77101,0.0005942,0.0005942,0.0005942
73,482.117,0.30892,0.5826,0.82154,0.99228,1,0.995,0.94241,0.28888,0.84308,0.77101,0.0005744,0.0005744,0.0005744
74,489.358,0.34678,0.62382,0.83177,0.9922,1,0.995,0.9346,0.29031,0.83518,0.772,0.0005546,0.0005546,0.0005546
75,496.232,0.31159,0.59689,0.84595,0.9922,1,0.995,0.9346,0.29031,0.83518,0.772,0.0005348,0.0005348,0.0005348
76,502.846,0.32544,0.6079,0.83608,0.99339,1,0.995,0.9346,0.2878,0.86112,0.77176,0.000515,0.000515,0.000515
77,509.533,0.32689,0.57028,0.83916,0.99339,1,0.995,0.9346,0.2878,0.86112,0.77176,0.0004952,0.0004952,0.0004952
78,515.936,0.32431,0.61748,0.82472,0.99405,1,0.995,0.95141,0.2888,0.8614,0.77038,0.0004754,0.0004754,0.0004754
79,522.603,0.29408,0.60547,0.84558,0.99405,1,0.995,0.95141,0.2888,0.8614,0.77038,0.0004556,0.0004556,0.0004556
80,529.454,0.30916,0.57665,0.80731,0.99425,1,0.995,0.95141,0.28287,0.82302,0.76814,0.0004358,0.0004358,0.0004358
81,535.863,0.27255,0.58873,0.8597,0.99425,1,0.995,0.95141,0.28287,0.82302,0.76814,0.000416,0.000416,0.000416
82,542.171,0.31468,0.61618,0.83262,0.99419,1,0.995,0.95453,0.2608,0.76164,0.76641,0.0003962,0.0003962,0.0003962
83,548.647,0.31828,0.55676,0.78895,0.99419,1,0.995,0.95453,0.2608,0.76164,0.76641,0.0003764,0.0003764,0.0003764
84,555.377,0.35478,0.63351,0.86567,0.99418,1,0.995,0.95453,0.24703,0.74077,0.76446,0.0003566,0.0003566,0.0003566
85,561.805,0.29201,0.56593,0.80563,0.99418,1,0.995,0.95453,0.24703,0.74077,0.76446,0.0003368,0.0003368,0.0003368
86,568.296,0.27104,0.5855,0.8596,0.99418,1,0.995,0.95141,0.24474,0.72426,0.76424,0.000317,0.000317,0.000317
87,574.843,0.33498,0.55854,0.8468,0.99418,1,0.995,0.95141,0.24474,0.72426,0.76424,0.0002972,0.0002972,0.0002972
88,581.397,0.28417,0.55094,0.85928,0.9942,1,0.995,0.95141,0.24993,0.70754,0.76526,0.0002774,0.0002774,0.0002774
89,587.924,0.28421,0.52202,0.82498,0.9942,1,0.995,0.95141,0.24993,0.70754,0.76526,0.0002576,0.0002576,0.0002576
90,594.636,0.27852,0.50557,0.84372,0.99418,1,0.995,0.95141,0.2433,0.70918,0.76511,0.0002378,0.0002378,0.0002378
91,601.516,0.2975,0.94173,0.82125,0.99418,1,0.995,0.95141,0.2433,0.70918,0.76511,0.000218,0.000218,0.000218
92,607.83,0.2893,0.88623,0.82184,0.99409,1,0.995,0.95453,0.23838,0.72132,0.76405,0.0001982,0.0001982,0.0001982
93,614.01,0.26058,0.82003,0.84128,0.99409,1,0.995,0.95453,0.23838,0.72132,0.76405,0.0001784,0.0001784,0.0001784
94,620.396,0.2808,0.79164,0.80533,0.99407,1,0.995,0.95753,0.24122,0.73192,0.76441,0.0001586,0.0001586,0.0001586
95,627.041,0.26871,0.73311,0.80185,0.99407,1,0.995,0.95753,0.24122,0.73192,0.76441,0.0001388,0.0001388,0.0001388
96,633.753,0.27342,0.85903,0.83281,0.99402,1,0.995,0.9346,0.24701,0.75643,0.76445,0.000119,0.000119,0.000119
97,640.096,0.25312,0.73847,0.82382,0.99402,1,0.995,0.9346,0.24701,0.75643,0.76445,9.92e-05,9.92e-05,9.92e-05
98,646.479,0.27883,0.74587,0.82772,0.99403,1,0.995,0.93562,0.24647,0.76863,0.76398,7.94e-05,7.94e-05,7.94e-05
99,652.671,0.2769,0.75548,0.82965,0.99403,1,0.995,0.93562,0.24647,0.76863,0.76398,5.96e-05,5.96e-05,5.96e-05
100,659.072,0.2814,0.77522,0.81323,0.99403,1,0.995,0.93562,0.24355,0.77177,0.76337,3.98e-05,3.98e-05,3.98e-05
